Name,Level
prvActivateSynchronousWorkflow,Basic
prvAppendNewProcess,Global
prvAppendToAsyncOperation,Basic
prvAppendToNewProcess,Global
prvAppendToTranslationProcess,Global
prvAppendToWorkflow,Global
prvAppendToWorkflowSession,Basic
prvAppendTranslationProcess,Global
prvAppendWorkflow,Basic
prvAppendWorkflowSession,Basic
prvAssignAsyncOperation,Basic
prvAssignWorkflow,Basic
prvAssignWorkflowSession,Basic
prvCreateNewProcess,Global
prvCreateSharePointData,Global
prvCreateTranslationProcess,Global
prvCreateUserApplicationMetadata,Basic
prvCreateUserEntityUISettings,Basic
prvCreateWorkflow,Basic
prvCreateWorkflowSession,Basic
prvDeleteNewProcess,Global
prvDeleteTranslationProcess,Global
prvDeleteUserApplicationMetadata,Basic
prvDeleteUserEntityUISettings,Basic
prvDeleteWorkflow,Basic
prvDeleteWorkflowSession,Basic
prvFlow,Global
prvReadAppConfigMaster,Global
prvReadAppModule,Global
prvReadAsyncOperation,Basic
prvReadAttribute,Global
prvReadAttributeMap,Global
prvReadBusinessUnit,Global
prvReadComplexControl,Global
prvReadCustomization,Global
prvReadEntity,Global
prvReadEntityKey,Global
prvReadEntityMap,Global
prvReadHierarchyRule,Global
prvReadNewProcess,Global
prvReadOptionSet,Global
prvReadOrganization,Global
prvReadPluginAssembly,Global
prvReadPluginTraceLog,Global
prvReadPluginType,Global
prvReadQuery,Global
prvReadRelationship,Global
prvReadReport,Basic
prvReadRole,Global
prvReadSavedQueryVisualizations,Global
prvReadSdkMessage,Global
prvReadSdkMessageProcessingStep,Global
prvReadSdkMessageProcessingStepImage,Global
prvReadSharePointData,Global
prvReadSharePointDocument,Global
prvReadSystemApplicationMetadata,Global
prvReadSystemForm,Global
prvReadTeam,Global
prvReadTraceLog,Global
prvReadTransactionCurrency,Global
prvReadTranslationProcess,Global
prvReadUser,Global
prvReadUserApplicationMetadata,Basic
prvReadUserEntityUISettings,Basic
prvReadUserQuery,Basic
prvReadUserSettings,Global
prvReadWebResource,Global
prvReadWorkflow,Global
prvReadWorkflowSession,Global
prvShareUserEntityUISettings,Basic
prvShareWorkflow,Basic
prvShareWorkflowSession,Basic
prvWorkflowExecution,Global
prvWriteAsyncOperation,Basic
prvWriteNewProcess,Global
prvWriteSharePointData,Global
prvWriteTranslationProcess,Global
prvWriteUserApplicationMetadata,Basic
prvWriteUserEntityUISettings,Basic
prvWriteWorkflow,Basic
prvWriteWorkflowSession,Basic
